name,code
Municipiul Chișinău,MD-CU
Municipiul Bălți,MD-BA
Bender (Tighina),MD-BD
Anenii Noi,MD-AN
Basarabeasca,MD-BA
Briceni,MD-BR
Cahul,MD-CA
Călărași,MD-CL
Cantemir,MD-CT
Căușeni,MD-CS
Cimișlia,MD-CM
Criuleni,MD-CR
Dondușeni,MD-DO
Drochia,MD-DR
Dubăsari,MD-DU
Edineț,MD-ED
Fălești,MD-FA
Florești,MD-FL
Glodeni,MD-GL
Hîncești,MD-HI
Ialoveni,MD-IA
Leova,MD-LE
Nisporeni,MD-NI
Ocnița,MD-OC
Orhei,MD-OR
Rezina,MD-RE
Rîșcani,MD-RI
Sîngerei,MD-SI
Soroca,MD-SO
Strășeni,MD-ST
Șoldănești,MD-SD
Ștefan Vodă,MD-SV
Taraclia,MD-TA
Telenești,MD-TE
Ungheni,MD-UN
"Găgăuzia, Unitatea teritorială autonomă (UTAG)",MD-GA
"Stînga Nistrului, unitatea teritorială din (Transnistria)",MD-SN
